from_chip,from_pin,to_chip,to_pin
input,A0,U5,7
input,A1,U2,2
input,A1,U2,5
input,A1,U2,8
input,A1,U2,11
input,A2,U1,1
input,A2,U2,3
input,A3,U1,3
input,A3,U2,6
input,A3,U4,2
U1,2,U2,9
U1,2,U3,8
U1,4,U2,12
U1,4,U3,2
U2,1,U3,3
U2,1,U4,1
U2,10,U3,11
U2,13,U3,9
U4,3,U1,5
U1,6,U5,1
U3,10,U5,2
U3,13,U5,6
U5,13,display,DISP1_a
U5,12,display,DISP1_b
U5,11,display,DISP1_c
U5,10,display,DISP1_d
U5,9,display,DISP1_e
U5,15,display,DISP1_f
U5,14,display,DISP1_g
U6,13,display,DISP2_a
U6,12,display,DISP2_b
U6,11,display,DISP2_c
U6,10,display,DISP2_d
U6,9,display,DISP2_e
U6,15,display,DISP2_f
U6,14,display,DISP2_g
